id,eventName,winners
2025 All-Star Challenge,2025 All-Star Challenge,Gannon Buhr
2025 Discraft Supreme Flight Open,2025 Discraft Supreme Flight Open,Ezra Robinson,Ella Hansen
2025 Prodigy presents the Waco Annual Charity Open,2025 Prodigy presents the Waco Annual Charity Open,Adam Hammes,Kristin Lätt
2025 MVP’s Open at Austin,2025 MVP’s Open at Austin,Niklas Anttila,Holyn Handley
2025 MVP Music City Open,2025 MVP Music City Open,Niklas Anttila,Kristin Lätt
GRIPeq 43rd Kansas City Wide Open,GRIPeq 43rd Kansas City Wide Open,Gannon Buhr,Holyn Handley
2025 PDGA Champions Cup,2025 PDGA Champions Cup,Isaac Robinson,Missy Gannon
2025 Discraft’s Cascade Challenge,2025 Discraft’s Cascade Challenge,Anthony Barela,Missy Gannon
2025 Konopiště Open,2025 Konopiště Open,Mauri Villmann,Kristin Lätt
2025 Northwest Disc Golf Championship,2025 Northwest Disc Golf Championship,Gannon Buhr,Holyn Handley
2025 Ale Open,2025 Ale Open,Niklas Anttila,Silva Saarinen
2025 Preserve Championship,2025 Preserve Championship,Gannon Buhr,Silva Saarinen
2025 United States Women’s Disc Golf Championship,2025 United States Women’s Disc Golf Championship,Eveliina Salonen
2025 European Disc Golf Championship,2025 European Disc Golf Championship,Aapo Karhi,Amanda Lennartsson
2025 Discmania Challenge,2025 Discmania Challenge,Ezra Aderhold,Cadence Burge
2025 PDGA Masters Disc Golf World Championships,2025 PDGA Masters Disc Golf World Championships,
2025 PCS Open,2025 PCS Open,Adam Hammes,Eveliina Salonen
2025 Krokhol Open,2025 Krokhol Open,Benjamin Callaway,Holyn Handley
